FIRST_TERM,COUNT,EXAMPLE,Preamble?,EXAMPLE_LOCATION
nulls,3,nullsOk,N,projects/junit4/src/main/java/org/junit/experimental/theories/Theories.java
cc,3,ccTld,,projects/jenkins/core/src/main/java/jenkins/org/apache/commons/validator/routines/DomainValidator.java
aa,3,aaTxt,,projects/jenkins/core/src/test/java/hudson/UtilTest.java
Pl,3,PlSql,,projects/DevToys/src/dev/impl/DevToys/Models/SqlLanguageDisplayPair.cs
ISO,2,ISODateToLocalizedDate,,projects/xbmc/xbmc/utils/StringUtils.cpp
BS,2,BS_RB24,,projects/xbmc/xbmc/utils/BitstreamReader.h
PA,2,PAChannelToAEChannel,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/AESinkPULSE.cpp
Ch,2,ChLayoutToChMask,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/windows/AESinkFactoryWin.cpp
nr,2,nrOfUsedColors,,projects/xbmc/xbmc/cores/VideoPlayer/DVDDemuxSPU.cpp
CU,2,CUPnPPlayerController,,projects/xbmc/xbmc/network/upnp/UPnPPlayer.cpp
PO,2,PODoc,,projects/xbmc/xbmc/weather/WeatherJob.cpp
RP,2,RP_0,,projects/xbmc/xbmc/rendering/dx/DeviceResources.cpp
BP,2,BP_0,,projects/xbmc/xbmc/rendering/dx/DeviceResources.cpp
WP,2,WP_0,,projects/xbmc/xbmc/rendering/dx/DeviceResources.cpp
vs,2,vsRect,,projects/xbmc/xbmc/windowing/windows/WinSystemWin32.cpp
hm,2,hmPrimary,,projects/xbmc/xbmc/windowing/windows/WinSystemWin32.cpp
tb,2,tbList,,projects/xbmc/xbmc/interfaces/python/swig.cpp
STD,2,STD_PORT,,projects/xbmc/tools/EventClients/lib/c#/EventClient.cs
TH,2,THtag,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/ConvertTo-Html.cs
er,2,erBuffer,,projects/PowerShell/src/System.Management.Automation/engine/remoting/client/RunspaceRef.cs
pg,2,pgSubsystem,,projects/PowerShell/src/System.Management.Automation/security/Win32Native/WinTrust.cs
NODE,2,NODE_ATTRIBUTE,N,projects/PowerShell/src/Microsoft.WSMan.Management/WsManHelper.cs
Nb,2,NbTris,,projects/libgdx/extensions/gdx-bullet/jni/src/bullet/BulletCollision/CollisionShapes/btConvexPolyhedron.cpp
EPA,2,EPA_Failed,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/collision/com/badlogic/gdx/physics/bullet/collision/btGjkEpaSolver3.java
AV,2,AVAudioPlayerDelegateAdapter,,projects/libgdx/backends/gdx-backend-robovm-metalangle/src/com/badlogic/gdx/backends/iosrobovm/objectal/AVAudioPlayerDelegateAdapter.java
BYTE,2,BYTE_TABLE,,projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/com/badlogic/gdx/utils/Utf8Decoder.java
INDEX,2,INDEX_ILLEGAL,,projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntSet.java
QR,2,QRBlock,,projects/tensorflow/tensorflow/compiler/mlir/xla/transforms/legalize_tf.cc
Qr,2,QrBlock,,projects/tensorflow/tensorflow/compiler/xla/service/qr_expander.cc
Kernels,2,KernelsTest,N,projects/tensorflow/tensorflow/core/kernels/image/sampling_kernels_test.cc
PB,2,PBTxtToMultiline,N,projects/tensorflow/tensorflow/core/framework/op_gen_lib.cc
EM,2,EMBenchmarkHelper,,projects/tensorflow/tensorflow/core/common_runtime/device/device_event_mgr_test.cc
,,,,
VECTOR,2,VECTOR_SIZE,,projects/tensorflow/tensorflow/lite/kernels/internal/optimized/optimized_ops.h
Rx,2,RxErrors,N,projects/aspnetcore/src/SignalR/clients/java/signalr/test/src/main/java/com/microsoft/signalr/RxJavaUnhandledExceptionsExtensions.java
DER,2,DER_w_keyinfo,,projects/openssl/providers/implementations/kdfs/x942kdf.c
Ed,2,EdDSA_sign_loop,,projects/openssl/apps/speed.c
SM,2,SM2_sign_loop,,projects/openssl/apps/speed.c
HEX,2,HEX_DIGITS,,projects/openssl/apps/ca.c
lg,2,lgN,,projects/openssl/test/sslapitest.c
RR,2,RR1,,projects/openssl/crypto/bn/rsaz_exp.h
Cha,2,ChaCha20_ctr32,,projects/openssl/crypto/chacha/chacha_enc.c
Tor,2,TorVersion,,projects/tor/src/app/config/or_state_st.h
cpd,2,cpdSame,,projects/jenkins/core/src/test/java/hudson/model/ParameterDefinitionTest.java
ppd,2,ppdSame,,projects/jenkins/core/src/test/java/hudson/model/ParameterDefinitionTest.java
pk,2,pkData,,projects/bitcoin/src/bitcoin-tx.cpp
WAL,2,WAL_stmt,,projects/bitcoin/src/leveldb/benchmarks/db_bench_sqlite3.cc
ST,1,ST_Input,,projects/xbmc/lib/win32/Effects11/Effect.h
bd,1,bdDir,,projects/xbmc/xbmc/utils/DiscsUtils.cpp
WU,1,WUSysMsg,,projects/xbmc/xbmc/platform/win32/WIN32Util.cpp
sf,1,sfManager,,projects/azure-functions-core-tools/test/Azure.Functions.Cli.Tests/E2E/DeploymentTests.cs
fa,1,faManager,,projects/azure-functions-core-tools/test/Azure.Functions.Cli.Tests/E2E/DeploymentTests.cs
Bios,1,BiosCharacteristics,N,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/GetComputerInfoCommand.cs
BIOS,1,BIOSVersion,N,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/GetComputerInfoCommand.cs
ht,1,htAst,,projects/PowerShell/src/System.Management.Automation/engine/parser/Parser.cs
AF,1,AF_HYPERV,,projects/PowerShell/src/System.Management.Automation/engine/remoting/common/RemoteSessionHyperVSocket.cs
pr,1,prType,,projects/PowerShell/src/System.Management.Automation/engine/remoting/fanin/PriorityCollection.cs
wt,1,wtData,,projects/PowerShell/src/System.Management.Automation/security/Authenticode.cs
GIMP,1,GIMPACT_SHAPE_PROXYTYPE,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/collision/com/badlogic/gdx/physics/bullet/collision/BroadphaseNativeTypes.java
Bt,1,BtMatrixForWinograd4x4To6x6,,projects/tensorflow/tensorflow/lite/delegates/gpu/common/winograd_util.cc
Sd,1,SdListenFdsStart,,projects/aspnetcore/src/Servers/Kestrel/Core/src/Systemd/KestrelServerOptionsSystemdExtensions.cs
Os,1,OsSupportsAdvancedHttp2,,projects/aspnetcore/src/Servers/IIS/IIS/src/Core/IISHttpContext.cs
MT,1,MTThreadBody,,projects/bitcoin/src/leveldb/db/db_test.cc
INF,1,INFVAL,,projects/bitcoin/src/util/serfloat.cpp
c,4737,cMemberDataBlocks,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
p,3738,pString,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
i,2091,iMember,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
glew,1935,__glewCopyTexSubImage3D,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/GL/glew.h
k,1741,kPSNOfSystemProcess,,projects/xbmc/xbmc/platform/darwin/osx/powermanagement/CocoaPowerSyscall.cpp
b,1661,bGlobalMemberDataBlock,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
n,1172,nChars,N,projects/xbmc/lib/libUPnP/Neptune/Source/System/WinRT/NptWinRtUtils.cpp
num,1148,numItems,N,projects/xbmc/xbmc/AutoSwitch.cpp
f,855,fValue,,projects/xbmc/lib/win32/Effects11/Binary/EffectBinaryFormat.h
bt,815,btLoop,,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/MusicTest.java
EVP,751,EVP_Digest_loop,,projects/openssl/apps/speed.c
h,666,hFile,,projects/xbmc/lib/win32/Effects11/EffectAPI.cpp
m,630,m_Value,,projects/xbmc/lib/win32/Effects11/Binary/EffectStateBase11.h
TF,580,TF_DataType_to_PyArray_TYPE,,projects/tensorflow/tensorflow/python/lib/core/ndarray_tensor_bridge.cc
dw,497,dwSize,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
sz,435,szFormat,,projects/xbmc/lib/win32/Effects11/d3dxGlobal.cpp
GLEW,418,__GLEW_VERSION_1_1,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/GL/glew.h
v,394,vRanges,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
OSSL,394,OSSL_provider_init,,projects/openssl/providers/legacyprov.c
rb,359,rbA,,projects/libgdx/extensions/gdx-bullet/jni/src/extras/Serialize/BulletWorldImporter/btBulletWorldImporter.cpp
aabb,331,aabbExtension,,projects/libgdx/extensions/gdx-box2d/gdx-box2d-gwt/src/com/badlogic/gdx/physics/box2d/gwt/emu/org/jbox2d/common/Settings.java
C,330,CdataSection,,projects/xbmc/lib/libUPnP/Neptune/Source/Core/NptXml.cpp
a,305,aSong,,projects/xbmc/xbmc/CueDocument.cpp
cim,278,cimInstance,,projects/PowerShell/src/Microsoft.Management.Infrastructure.CimCmdlets/CimInvokeCimMethod.cs
s,264,s_ExternalFunction,,projects/xbmc/lib/libUPnP/Neptune/Source/Core/NptLogging.cpp
psz,261,pszDeviceId,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/windows/AESinkFactoryWin10.cpp
Tf,241,TfTypeToTrtType,,projects/tensorflow/tensorflow/compiler/tf2tensorrt/convert/utils.cc
T,230,T1,,projects/xbmc/lib/libUPnP/Neptune/Source/Tests/Threads1/ThreadsTest1.cpp
TFE,226,TFE_TensorHandleToNumpy,,projects/tensorflow/tensorflow/python/eager/pywrap_tensor.cc
dst,223,dstMultp,,projects/xbmc/xbmc/utils/CharsetConverter.cpp
M,221,M3PAbortingWorkflowExecutionEvent,,projects/PowerShell/src/System.Management.Automation/utils/tracing/TracingGen.cs
w,215,wStringDst,,projects/xbmc/xbmc/utils/CharsetConverter.cpp
cb,208,cbEffectBuffer,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
A,197,A2WHelper,,projects/xbmc/lib/libUPnP/Neptune/Source/System/WinRT/NptWinRtUtils.cpp
y,166,yLoad,,projects/xbmc/xbmc/platform/linux/sse4/CopyFrame.cpp
NPT,161,NPT_WinRtSharedVariable,,projects/xbmc/lib/libUPnP/Neptune/Source/System/WinRT/NptWinRtThreads.cpp
B,161,BNot,,projects/PowerShell/src/System.Management.Automation/engine/runtime/Binding/Binders.cs
r,158,rBuf,N,projects/xbmc/xbmc/utils/RingBuffer.h
pb,137,pbDataIn,,projects/PowerShell/src/System.Management.Automation/security/SecureStringHelper.cs
PKCS,129,PKCS12_load,,projects/openssl/test/pkcs12_api_test.c
q,125,qInv,,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/axTLS/ssl/asn1.c
P,121,PKEY_TITLE,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/WindowsTaskbarJumpList/TaskbarJumpList.cs
wglew,118,__wglewSetStereoEmitterState3DL,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/GL/wglew.h
F,114,FFinishImageLoad,,projects/xbmc/xbmc/cores/DllLoader/DllLoader.cpp
N,113,Norig,,projects/xbmc/xbmc/contrib/kissfft/kiss_fft.c
PDH,112,PDH_CSTATUS_VALID_DATA,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Diagnostics/PdhHelper.cs
epg,105,epgTag,,projects/xbmc/xbmc/FileItem.cpp
vec,98,vecItems,,projects/xbmc/xbmc/Autorun.cpp
CMS,97,CMS_stream,,projects/openssl/crypto/cms/cms_io.c
j,94,jObj,,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Actions/DeployActions/Platforms/KnativePlatform.cs
H,94,HKEY_CLASSES_ROOT,,projects/PowerShell/src/System.Management.Automation/namespaces/TransactedRegistryKey.cs
L,93,LStrLenW,,projects/xbmc/lib/libUPnP/Neptune/Source/System/WinRT/NptWinRtUtils.cpp
buf,87,bufDesc,,projects/xbmc/lib/win32/Effects11/EffectNonRuntime.cpp
OCSP,86,OCSP_sendreq_new,,projects/openssl/crypto/ocsp/ocsp_http.c
d,79,dP,,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/axTLS/ssl/asn1.c
l,79,lLongValue,,projects/xbmc/xbmc/utils/XMLUtils.cpp
io,77,ioProc,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/osx/CoreAudioDevice.h
V,75,Vloc,,projects/xbmc/xbmc/cores/VideoPlayer/VideoRenderers/LinuxRendererGLES.cpp
tx,74,txDesc,,projects/xbmc/xbmc/cores/VideoPlayer/VideoRenderers/VideoShaders/WinVideoFilter.cpp
NUM,67,NUM_DECALS,N,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/SimpleDecalTest.java
G,63,GUIDToString,,projects/xbmc/xbmc/cores/VideoPlayer/DVDCodecs/Video/DXVA.cpp
nnz,62,nnzA,,projects/tensorflow/tensorflow/core/kernels/sparse/sparse_mat_mul_op.cc
egl,61,eglString,,projects/xbmc/xbmc/utils/EGLImage.cpp
GLXEW,60,__GLXEW_VERSION_1_0,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/GL/glxew.h
D,58,DcomParameterSet,,projects/PowerShell/src/Microsoft.Management.Infrastructure.CimCmdlets/CimCommandBase.cs
gdx,58,gdxCheckFilter,,projects/libgdx/extensions/gdx-bullet/jni/src/custom/gdx/collision/GdxCollisionObjectBridge.h
pstr,55,pstrName,,projects/xbmc/lib/win32/Effects11/EffectAPI.cpp
bvh,53,bvhData,,projects/libgdx/extensions/gdx-bullet/jni/src/extras/Serialize/BulletWorldImporter/btBulletWorldImporter.cpp
pv,52,pvRange,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
o,49,oBase,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
cch,49,cchMaxPath,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/WindowsTaskbarJumpList/ComInterfaces.cs
